Sta node#,distance,timerx(notassociated),timeidle(notassociated),timetx(notassociated),timesleep(notassociated),timecollision(notassociated)
0,37.6303,1.75788,(0.26856),30.7158,(1.31296),0.02092,(0.0032),29.8197,(0),0.00016423,(0.000649864)
1,182.863,1.79916,(0.07152),30.749,(0.506596),0.02092,(0.0032),30.7489,(0),0.000328301,(0.000322958)
2,114.068,1.8244,(0.05512),31.1972,(0.501956),0.02092,(0.0032),30.2964,(0),0.000327517,(0.000322946)
3,93.6336,1.77212,(0.16708),30.5696,(0.912527),0.02092,(0.0048),30.452,(0),0.000325116,(0.000486933)
4,198.21,1.84088,(0.08568),31.1035,(0.510808),0.02788,(0.0032),30.3273,(0),0.000325622,(0.000323811)
5,122.73,1.73752,(0.27564),30.2534,(1.31506),0.02324,(0.0032),30.2911,(0),0.000164675,(0.000649931)
6,124.08,1.82368,(0.0812),31.1183,(0.508763),0.02092,(0.0032),30.343,(0),0.000486767,(0.000323184)
7,172.131,1.66644,(0.36884),30.1561,(1.72607),0.02092,(0.0064),29.9535,(0),6.09e-07,(0.00161247)
8,64.916,1.70564,(0.36176),30.5584,(1.72302),0.02092,(0.0048),29.5244,(0),6.18e-07,(0.000972703)
9,149.381,1.81596,(0.08568),30.7113,(0.511962),0.02092,(0.0048),30.7481,(0),0.000327222,(0.000963631)
10,85.5006,1.74844,(0.11736),31.0172,(0.900807),0.02092,(0.0032),30.0913,(0),0.000325328,(0.000324265)
11,177.649,1.78384,(0.05996),30.7995,(0.50343),0.02556,(0.0032),30.7238,(0),0.000328161,(0.000323724)
12,77.4031,1.70664,(0.283),30.8656,(1.31905),0.02424,(0.0048),29.6958,(0),0.000164304,(0.000648799)
13,177.256,1.78824,(0.08344),30.7433,(0.509709),0.02092,(0.0032),30.7504,(0),0.000327817,(0.000321424)
14,79.0942,1.677,(0.34884),30.6552,(1.71953),0.02092,(0.0032),29.4742,(0),6.38e-07,(0.000972551)
15,161.423,1.76272,(0.18312),30.5574,(0.918154),0.02092,(0.0048),30.452,(0),0.000324644,(0.000486099)
16,140.157,1.71964,(0.257),30.7911,(1.30922),0.02556,(0.0032),29.793,(0),0.000476628,(0.000649992)
17,125.047,1.67688,(0.29952),30.1408,(1.70661),0.02092,(0.0032),30.0512,(0),0.000163459,(0.000651127)
18,67.6939,1.74292,(0.27788),30.7198,(1.31612),0.02324,(0.0032),29.816,(0),0.000164333,(0.000647942)
19,84.9455,1.66264,(0.34624),30.193,(1.71885),0.02092,(0.0032),29.9538,(0),6.21e-07,(0.00133425)
20,126.581,1.8448,(0.0302),31.3264,(0.496988),0.02424,(0.0032),30.1734,(0),0.000648024,(1.454e-06)
21,18.0398,1.7406,(0.23504),30.344,(1.30369),0.02092,(0.0032),30.2516,(0),0.000325598,(0.000488133)
22,164.731,1.8294,(0.0622),31.2793,(0.504011),0.02424,(0.0032),30.197,(0),0.000327546,(0.000323523)
23,95.1019,1.75608,(0.15452),30.719,(0.908682),0.02456,(0.0032),30.3575,(0),0.000487202,(0.000325881)
24,117.845,1.69948,(0.30436),30.4667,(1.70751),0.02092,(0.0032),29.697,(0),0.000162749,(0.00065184)
25,98.391,1.8332,(0.14744),30.542,(0.906784),0.02324,(0.0032),30.4433,(0),0.000485825,(0.000325312)
26,177.143,1.73732,(0.25252),30.7791,(1.30775),0.02324,(0.0032),29.796,(0),0.000164682,(0.000650557)
27,150.353,1.85612,(0.04544),30.7251,(0.500002),0.02324,(0.0032),30.7457,(0),0.000981018,(0.000161422)
28,135.162,1.8694,(0.1296),30.9846,(0.903082),0.02092,(0.0032),29.9846,(0),0.00416475,(0.00032543)
29,139.008,1.7482,(0.18376),30.5883,(0.918681),0.02656,(0.0064),30.4272,(0),0.0003248,(0.000487782)
30,193.736,1.68524,(0.3144),30.6725,(1.70994),0.02424,(0.0032),29.4896,(0),0.000162386,(0.000649519)
31,195.584,1.819,(0.06928),30.7516,(0.506068),0.02424,(0.0032),30.7259,(0),0.000327945,(0.000321585)
32,183.994,1.66696,(0.32704),30.5649,(1.71242),0.02324,(0.0032),29.6014,(0),1.936e-06,(0.00081416)
33,188.49,1.79184,(0.15228),30.5706,(0.908205),0.02092,(0.0032),30.452,(0),0.000485213,(0.000326072)
34,168.072,1.73924,(0.24768),30.7818,(1.30644),0.02092,(0.0032),29.7993,(0),0.00081607,(0.000487391)
35,170.501,1.79116,(0.18796),30.515,(0.922392),0.02092,(0.0064),30.4545,(0),0.00047366,(0.00112731)
36,133.701,1.84412,(0.07636),31.1473,(0.507705),0.02092,(0.0032),30.2997,(0),0.000325825,(0.000323436)
37,174.439,1.72592,(0.26632),30.3086,(1.31186),0.02092,(0.0032),30.2623,(0),0.000164404,(0.000648402)
38,183.536,1.83788,(0.15936),30.9893,(0.909688),0.02092,(0.0032),29.9787,(0),0.000631825,(0.000325704)
39,175.011,1.82372,(0.05028),30.7509,(0.500949),0.02092,(0.0032),30.7491,(0),0.000488679,(0.000323845)
40,184.931,1.781,(0.16644),30.9853,(0.911947),0.02324,(0.0032),30.028,(0),0.000325392,(0.000485612)
41,118.491,1.8338,(0.06444),30.9414,(0.504801),0.02324,(0.0032),30.5284,(0),0.000327926,(0.000322061)
42,146.845,1.70656,(0.28012),30.8607,(1.31805),0.02656,(0.0048),29.7017,(0),0.000164421,(0.00129135)
43,154.923,1.80576,(0.1616),30.5449,(0.910733),0.02092,(0.0032),30.452,(0),0.000325612,(0.000486206)
44,183.705,1.67088,(0.35916),30.811,(1.72254),0.02324,(0.0048),29.3068,(0),0.00011332,(0.00133686)
